,TranscriptionFlux,TranslationFlux
b1474,0.0,0.0
b1475,0.0,6.223171062083879e-34
b1476,0.0,0.0
b1478,0.0,0.0
b1479,0.0,0.0
b1480,1.2835944124474525e-07,4.33053158532042e-06
b1483,0.0,0.0
b1484,0.0,0.0
b1485,0.0,0.0
b1486,0.0,0.0
b1487,0.0,0.0
b1488,0.0,0.0
b1489,0.0,0.0
b1492,0.0,0.0
b1493,0.0,0.0
b1519,0.0,0.0
b1521,0.0,1.3368648718997124e-29
b1524,0.0,0.0
b1525,0.0,0.0
b1528,0.0,0.0
b1533,0.0,0.0
b1539,0.0,0.0
b1584,0.0,0.0
b1587,0.0,0.0
b1588,0.0,0.0
b1589,0.0,0.0
b1590,0.0,0.0
b1591,0.0,0.0
b1592,0.0,0.0
b1599,0.0,0.0
b1600,0.0,0.0
b1602,0.0,0.0
b1603,0.0,0.0
b1605,0.0,0.0
b1606,0.0,0.0
b1611,0.0,0.0
b1612,1.9245995308688378e-09,6.493125068711345e-08
b1613,0.0,0.0
b1621,4.5738910725341013e-10,0.0
b1622,4.5738910725341013e-10,1.5431182595799034e-08
b1623,0.0,0.0
b1634,0.0,0.0
b1636,4.3872377438446453e-10,0.0
b1637,4.3872377438446453e-10,1.4801460210319289e-08
b1638,0.0,0.0
b1640,0.0,0.0
b1646,0.0,0.0
b1651,0.0,0.0
b1652,2.2610894249547035e-12,7.628359142924502e-11
b1654,2.2232421673353823e-13,7.500671811981918e-12
b1656,0.0,0.0
b1661,0.0,0.0
b1662,2.301813354260887e-12,7.765751656033469e-11
b1665,4.084925307464758e-07,
b1666,4.084925307464758e-07,
b1676,2.2857329905210465e-09,7.711500467025842e-08
b1677,1.0661714412208506e-05,0.0003597
b1679,-4.412374472297573e-48,0.0
b1680,-4.412374472297573e-48,0.0
b1681,-4.412374472297573e-48,0.0
b1682,-4.412374472297573e-48,0.0
b1683,-4.412374472297573e-48,0.0
b1684,-4.412374472297573e-48,0.0
b1692,1.519001484945347e-08,5.8505510253361885e-08
b1693,1.519001484945347e-08,5.124737101466417e-07
b1701,0.0,0.0
b1702,0.0,0.0
b1704,0.0,0.0
b1709,0.0,-1.7316531957303507e-69
b1710,0.0,0.0
b1711,0.0,-1.3222336177264918e-69
b1713,5.75739895703278e-10,1.9424046872548988e-08
b1714,5.75739895703278e-10,1.9424046872548988e-08
b1716,1.2835944124474525e-07,4.33053158532042e-06
b1717,1.2835944124474525e-07,4.33053158532042e-06
b1718,7.745607041244027e-10,1.0380463867650455e-09
b1719,7.745607041244027e-10,2.6131771542719038e-08
b1723,2.5572198358566155e-08,8.627430255535117e-07
b1732,0.0,0.0
b1734,0.0,0.0
b1740,3.7593057194392016e-08,1.268297212813991e-06
b1744,0.0,0.0
b1745,0.0,0.0
b1746,0.0,0.0
b1747,0.0,0.0
b1748,0.0,0.0
b1759,0.0,0.0
b1761,1.482791201795636e-09,5.002572519436001e-08
b1764,3.412238206092947e-11,1.1512051770268612e-09
b1767,0.0,0.0
b1768,0.0,0.0
b1773,0.0,0.0
b1778,0.0,0.0
b1779,2.971027534317973e-08,1.0023515569601577e-06
b1781,0.0,0.0
b1800,0.0,0.0
b1801,0.0,0.0
b1804,0.0,0.0
b1805,-2.8058704292526073e-31,-9.466316151241747e-30
b1812,1.0629704337765797e-12,3.58620058882476e-11
b1814,0.0,0.0
b1817,0.0,0.0
b1818,0.0,0.0
b1819,0.0,0.0
b1822,1.0970892414080782e-13,3.701309047282407e-12
b1835,5.485446207040391e-14,1.8506545236412034e-12
b1849,4.898550879187084e-10,1.652650486704047e-08
b1850,-2.0556421672954775e-30,-6.935230667282266e-29
b1851,1.143574678295781e-43,-1.7690430811988458e-42
b1852,1.9716911497241454e-09,6.652000598924928e-08
b1854,0.0,0.0
b1855,0.0,0.0
b1857,0.0,0.0
b1858,0.0,0.0
b1859,0.0,0.0
b1865,0.0,0.0
b1866,8.576299961689504e-10,2.8934324977672126e-08
b1870,7.25335274119027e-14,2.4471026704847707e-12
b1871,7.25335274119027e-14,2.4471026704847707e-12
b1872,0.0,5.89735348659815e-28
b1873,0.0,5.89735348659815e-28
b1876,4.2240597366902664e-10,1.4250937781147677e-08
b1896,0.0,0.0
b1897,0.0,0.0
b1900,0.0,0.0
b1901,0.0,0.0
b1907,0.0,0.0
b1909,4.1186167897658837e-07,
b1910,4.1186167897658837e-07,
b1911,4.1186167897658837e-07,
b1912,1.4518011367559927e-11,4.898019668329847e-10
b1919,0.0,0.0
b1922,7.429655468901977e-12,2.5065828710473414e-10
b1927,0.0,1.2907624594895814e-28
b1975,0.0,
b1977,0.0,
b1981,0.0,0.0
b1982,0.0,0.0
b1984,1.4407877083703943e-06,
b1986,0.0,
b1989,0.0,
b1991,0.0,0.0
b1992,0.0,0.0
b1993,0.0,0.0
b2010,0.0,3.311438167678733e-31
b2019,4.652038877344147e-08,1.5694834052810352e-06
b2020,4.652038877344147e-08,1.3029093526454542e-06
b2021,4.652038877344147e-08,7.903038367428397e-07
b2022,4.652038877344147e-08,3.770188549215479e-07
b2023,4.652038877344147e-08,8.331264746478798e-07
b2024,4.652038877344147e-08,7.057206129899812e-07
b2025,4.652038877344147e-08,8.331264746478798e-07
b2026,4.652038877344147e-08,9.424887910721137e-07
b2027,0.0,0.0
b2028,0.0,0.0
b2029,1.6796218397658126e-08,5.66663064124051e-07
b2032,0.0,0.0
b2033,0.0,0.0
b2034,0.0,0.0
b2035,0.0,0.0
b2036,0.0,0.0
b2037,0.0,0.0
b2038,0.0,0.0
b2039,0.0,0.0
b2040,0.0,0.0
b2041,0.0,0.0
b2045,0.0,0.0
b2048,0.0,0.0
b2049,0.0,0.0
b2051,0.0,0.0
b2052,0.0,0.0
b2053,0.0,0.0
b2065,0.0,0.0
b2066,0.0,0.0
b2091,0.0,3.2779852516750475e-29
b2092,0.0,1.5306571860032582e-29
b2093,0.0,7.653285930016291e-30
b2094,0.0,7.653285930016291e-30
